Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,0.01488698938696101,3.390020951460207,296,sub-CA113,CS_VIS_abs,Irrelevant,object,dtw
Offset,Original,0.012001721754918211,3.4543101723732743,716,sub-CA113,CS_VIS_abs,Irrelevant,object,dtw
Onset,Squared,0.6819034204757674,11.492242051339167,296,sub-CA113,CS_VIS_abs,Irrelevant,object,dtw
Offset,Squared,0.6445841402368264,11.93225876696148,716,sub-CA113,CS_VIS_abs,Irrelevant,object,dtw
Onset,Original,-3.2652313531433174e-16,2.6555963440965416,351,sub-CA113,CS_PFC,Relevant non-target,object,euclidean
Offset,Original,3.0908609005564356e-16,2.0577738157890253,569,sub-CA113,CS_PFC,Relevant non-target,object,euclidean
Onset,Squared,0.6701729612028314,7.052191942778917,351,sub-CA113,CS_PFC,Relevant non-target,object,euclidean
Offset,Squared,0.503975757824939,4.313546020424792,11,sub-CA113,CS_PFC,Relevant non-target,object,euclidean
Onset,Original,-3.7621143851433874e-16,3.1499233670043907,351,sub-CA113,CS_PFC_abs,Relevant non-target,object,euclidean
Offset,Original,9.50350909079134e-17,2.37713523539726,569,sub-CA113,CS_PFC_abs,Relevant non-target,object,euclidean
Onset,Squared,0.5340056663828577,9.922017218000278,351,sub-CA113,CS_PFC_abs,Relevant non-target,object,euclidean
Offset,Squared,0.5251632647121629,5.650771927367186,569,sub-CA113,CS_PFC_abs,Relevant non-target,object,euclidean
Onset,Original,1.2776992251430374e-16,1.5860950254240835,17,sub-CA113,CS_VIS,Relevant non-target,object,euclidean
Offset,Original,2.3092638912203257e-16,1.5891453819664356,801,sub-CA113,CS_VIS,Relevant non-target,object,euclidean
Onset,Squared,0.27531514441712746,2.5156974296750243,17,sub-CA113,CS_VIS,Relevant non-target,object,euclidean
Offset,Squared,0.2878533837282217,2.874642027943479,403,sub-CA113,CS_VIS,Relevant non-target,object,euclidean
Onset,Original,-3.389452111143335e-16,2.9976983356944826,433,sub-CA113,CS_VIS_abs,Relevant non-target,object,euclidean
